Dark Night of the Wise,Increased Maximum FP,FP Restoration upon Successive Attacks,Max FP permanently increased after releasing Sorcerer's Rise mechanism
Polished Drizzly Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Crystal Darts in possession at start of expedition,
Polished Tranquil Scene,Small Pouch in possession at start of expedition,Strength +3,
Grand Drizzly Scene,Starting armament deals holy damage,Fire Attack Power Up +2,Improved Sleep Resistance
Grand Tranquil Scene,Faith +1,Ultimate Art Gauge +3,Holy Attack Power Up +2
Polished Tranquil Scene,{Raider] Duration of Ultimate Art extended,Mind +2,
Polished Luminous Scene,Max FP Up with 3+ Sacred Seals Equipped,Intelligence +2,
Grand Tranquil Scene,{Wylder] +1 additional Character Skill use,Glintstone Scraps in possession at start of expedition,Magic Grease in possession at start of expedition
Grand Burning Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),HP Restoration upon Claw Attacks,Defeating enemies restores HP for allies but not for self
Polished Luminous Scene,Improved Stance-Breaking when Wielding Two Armaments,Fire Grease in possession at start of expedition,
Polished Tranquil Scene,{Executor] Roaring restores HP while Art is active,Ultimate Art Gauge +1,
Grand Tranquil Scene,Small Pouch in possession at start of expedition,Changes compatible armament’s skill to White Shadow's Lure at start of expedition,Ultimate Art Gauge +2
Grand Tranquil Scene,{Revenant] Expend own HP to fully heal nearby allies when activating Art,Improved Great Hammer Attack Power,Magic Damage Negation Up
Polished Luminous Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Changes compatible armament's skill to Blood Blade at start of expedition,
Polished Luminous Scene,{Duchess] Dagger chain attack reprises event upon nearby enemies,Changes compatible armament’s skill to Poison Moth Flight at start of expedition,
Grand Drizzly Scene,{Guardian] Slowly restores nearby allies’ HP while Art is active,Improved Poise & Damage Negation When Knocked Back by Damage,Endurance +1
Grand Burning Scene,Changes compatible armament's skill to Glintblade Phalanx at start of expedition,Endurance +2,Lightning Attack Power Up
Polished Tranquil Scene,"HP restored when using cured meats, medicinal boluses, etc.",Changes compatible armament’s skill to Glintblade Phalanx at start of expedition,
Grand Burning Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,"Raised stamina recovery for nearby allies, but not for self",Wraith Calling Bell in possession at start of expedition
Polished Burning Scene,{Guardian] Creates whirlwind when charging halberd attacks,Attack power up when facing scarlet rot-afflicted enemy,
Polished Luminous Scene,{Revenant] Power up while fighting alongside family,Lightning Attack Power Up +2,
Polished Tranquil Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Changes compatible armament's skill to Blood Blade at start of expedition,
Polished Drizzly Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Attack power up after defeating a Night Invader,
Polished Burning Scene,Partial HP Restoration upon Post-Damage Attacks,Improved Stance-Breaking when Two-Handing,
Grand Drizzly Scene,HP Restoration upon Curved Greatsword Attacks,Lightning Grease in possession at start of expedition,Vigor +3
Grand Drizzly Scene,Improved Poise Near Totem Stela,Changes compatible armament's skill to Gravitas at start of expedition,Endurance +3
Grand Burning Scene,{Duchess] Defeating enemies while Art is active ups attack power,Improved Attack Power with 3+ Hammers Equipped,Stamina recovers with each successful attack
Polished Drizzly Scene,{Guardian] Creates whirlwind when charging halberd attacks,Character Skill Cooldown Reduction +3,
Grand Burning Scene,Fire Grease in possession at start of expedition,Mind +3,Character Skill Cooldown Reduction +2
Grand Burning Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Attack power up when facing poison-afflicted enemy,Fire Attack Power Up +2
Polished Tranquil Scene,HP Restoration upon Katana Attacks,Changes compatible armament’s skill to Thunderbolt at start of expedition,
Polished Burning Scene,Endurance +3,Magic Attack Power Up +1,
Grand Burning Scene,Improved Initial Standard Attack,Poisonbone Darts in possession at start of expedition,Improved Rot Resistance
Polished Burning Scene,{Wylder] Art activation spreads fire in area,Rune discount for shop purchases while on expedition,
Grand Burning Scene,Improved Poise Near Totem Stela,Changes compatible armament’s skill to Thunderbolt at start of expedition,Dexterity +3
Grand Tranquil Scene,{Wylder] Art activation spreads fire in area,Vigor +2,Arcane +1
Polished Burning Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Taking attacks improves attack power,
Polished Drizzly Scene,{Revenant] Power up while fighting alongside family,Character Skill Cooldown Reduction +2,
Grand Luminous Scene,HP Recovery From Successful Guarding,Art gauge charged from successful guarding,Changes compatible armament’s skill to White Shadow's Lure at start of expedition
Polished Drizzly Scene,{Duchess] Improved Character Skill Attack Power,Intelligence +3,
Grand Drizzly Scene,{Ironeye] +1 additional Character Skill use,Changes compatible armament's skill to Flaming Strike at start of expedition,Intelligence +3
Polished Luminous Scene,{Wylder] Art gauge greatly filled when ability is activated,Changes compatible armament's skill to Chilling Mist at start of expedition,
Grand Drizzly Scene,{Revenant] Strengthens family and allies when Ultimate Art is activated,Gravity Stone Chunks in possession at start of expedition,Mind +3
Polished Drizzly Scene,{Revenant] Strengthens family and allies when Ultimate Art is activated,Improved Throwing Knife Damage,
Polished Luminous Scene,Character Skill Cooldown Reduction +3,Poise +1,
Grand Tranquil Scene,FP Restoration upon Bow Attacks,Holy Water Pots in possession at start of expedition,Holy Damage Negation Up
Polished Tranquil Scene,Flask Also Heals Allies,Character Skill Cooldown Reduction +3,
Polished Luminous Scene,{Ironeye] +1 additional Character Skill use,HP Restoration upon Colossal Weapon Attacks,
Polished Tranquil Scene,Dexterity +3,Magic Attack Power Up +1,
Grand Drizzly Scene,{Wylder] +1 additional Character Skill use,Max HP Up with 3+ Small Shields Equipped,FP Restoration upon Flail Attacks
Grand Burning Scene,{Ironeye] Extends duration of weak point,"HP restored when using cured meats, medicinal boluses, etc.",Magic Attack Power Up
Grand Burning Scene,Max HP Up with 3+ Greatshields Equipped,HP Restoration upon Curved Greatsword Attacks,Starting armament deals fire damage
Grand Drizzly Scene,{Revenant] Power up while fighting alongside family,Arcane +2,Physical Attack Up +1
Grand Tranquil Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Starting armament deals magic damage,Crystal Darts in possession at start of expedition
Bone-Like Stone,{Recluse} Suffer blood loss and increase attack power upon Art activation,{Recluse} Activating Ultimate Art raises Max HP,Intelligence +3
Vestige of Night,{Recluse} Collecting affinity residue activates Terra Magica,Magic Attack Power Up +2,
Grand Luminous Scene,{Guardian] Creates whirlwind when charging halberd attacks,Improved Roar & Breath Attacks,Starting armament inflicts poison
Polished Drizzly Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Arcane +3,
Grand Tranquil Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Slowly restore HP for self and nearby allies when HP is low,Arcane +2
Polished Luminous Scene,Improved Fundamentalist Incantations,Poise +1,
Polished Tranquil Scene,Faith +3,Ultimate Art Gauge +1,
Grand Burning Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),HP Restoration upon Curved Sword Attacks,Endurance +3
Polished Burning Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Endurance +1,
Grand Burning Scene,Improved Glintblade Sorcery,Ultimate Art Gauge +3,Holy Damage Negation Up
Polished Drizzly Scene,Improved Initial Standard Attack,Glintstone Scraps in possession at start of expedition,
Polished Luminous Scene,Art gauge fills moderately upon critical hit,Starlight Shards in possession at start of expedition,
Grand Luminous Scene,{Guardian] Increased duration for Character Skill,Starting armament deals fire damage,Changes compatible armament’s skill to Quickstep at start of expedition
Polished Drizzly Scene,{Duchess] Improved Character Skill Attack Power,Slowly restore HP for self and nearby allies when HP is low,
Polished Tranquil Scene,Improved Guard Counters,Mind +3,
Grand Burning Scene,Taking attacks improves attack power,Increased rune acquisition for self and allies,Faith +2
Grand Burning Scene,Improved Throwing Stone Damage,Starting armament deals fire damage,Arcane +3
Grand Burning Scene,Defeating enemies near Totem Stela restores HP,FP Restoration upon Fist Attacks,Lightning Attack Power Up +2
Polished Luminous Scene,Faith +3,Character Skill Cooldown Reduction +1,
Polished Tranquil Scene,HP Recovery From Successful Guarding,Holy Attack Power Up +1,
Grand Burning Scene,Improved Poise Near Totem Stela,Starting armament deals fire damage,Ultimate Art Gauge +3
Polished Drizzly Scene,Starting armament deals lightning damage,Changes compatible armament’s skill to Seppuku at start of expedition,
Polished Tranquil Scene,Max HP Up with 3+ Greatshields Equipped,Improved Throwing Pot Damage,
Grand Tranquil Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Treasure marked upon map,Intelligence +1
Polished Luminous Scene,{Recluse} Collecting affinity residue activates Terra Magica,Draw enemy attention while guarding,
Grand Tranquil Scene,Improved Carian Sword Sorcery,Character Skill Cooldown Reduction +2,Improved Rot Resistance
Polished Drizzly Scene,HP Restoration upon Halberd Attacks,Endurance +3,
Polished Burning Scene,Attack power up when facing scarlet rot-afflicted enemy,Physical Attack Up +1,
Grand Tranquil Scene,FP Restoration upon Heavy Thrusting Sword Attacks,Improved Initial Standard Attack,Changes compatible armament’s skill to Chilling Mist at start of expedition
Grand Tranquil Scene,Flask Also Heals Allies,Improved Godslayer Incantations,Faith +3
Polished Tranquil Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Character Skill Cooldown Reduction +1,
Polished Tranquil Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Strength +3,
Polished Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Arcane +3,
Edge of Order,{Ironeye] Boosts thrusting counterattacks after executing Art,Improved Bow Attack Power,Starting armament deals holy damage
Grand Luminous Scene,HP Recovery From Successful Guarding,Improved Godslayer Incantations,Vigor +3
Grand Luminous Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Starting armament inflicts poison,Physical Attack Up
Polished Burning Scene,{Guardian] Creates whirlwind when charging halberd attacks,Art gauge charged from successful guarding,
Polished Burning Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Arcane +3,
Grand Burning Scene,Taking attacks improves attack power,Starting armament deals lightning damage,Changes compatible armament’s skill to Gravitas at start of expedition
Grand Tranquil Scene,HP Recovery From Successful Guarding,{Ironeye] +1 additional Character Skill use,Gravity Stone Chunks in possession at start of expedition
Polished Tranquil Scene,{Revenant] Expend own HP to fully heal nearby allies when activating Art,Fire Attack Power Up +2,
Polished Luminous Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Improved Attack Power with 3+ Colossal Swords Equipped,
Grand Drizzly Scene,Partial HP Restoration upon Post-Damage Attacks,Strength +1,Faith +3
Polished Luminous Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Improved Attack Power with 3+ Colossal Swords Equipped,
Grand Luminous Scene,{Guardian] Increased duration for Character Skill,Treasure marked upon map,Strength +3
Polished Tranquil Scene,{Wylder] Art gauge greatly filled when ability is activated,Improved Attack Power with 3+ Curved Greatswords Equipped,
Polished Tranquil Scene,Draw enemy attention while guarding,Improved Dragon Communion Incantations,
Grand Drizzly Scene,Changes compatible armament's skill to Glintblade Phalanx at start of expedition,Endurance +2,Improved Sleep Resistance
Grand Luminous Scene,Defeating enemies near Totem Stela restores HP,Improved Dragon Cult Incantations,Starting armament inflicts frost
Grand Luminous Scene,Improved Poise Near Totem Stela,Improved Crystalian sorcery,Improved Sleep Resistance
Polished Burning Scene,{Guardian] Reflect a portion of damage received when ability is activated,Changes compatible armament’s skill to Thunderbolt at start of expedition,
Polished Drizzly Scene,Art gauge charged from successful guarding,Improved Madness Resistance,
Grand Luminous Scene,HP Restoration upon Great Spear Attacks,Attack power up when facing poison-afflicted enemy,Ultimate Art Gauge +2
Grand Drizzly Scene,Improved Twinblade Attack Power,Improved Crystalian sorcery,Glintstone Scraps in possession at start of expedition
Polished Drizzly Scene,Mind +3,Intelligence +1,
Grand Luminous Scene,{Wylder] Art activation spreads fire in area,Starting armament deals magic damage,Vigor +1
Grand Burning Scene,FP Restoration upon Reaper Attacks,Max FP permanently increased after releasing Sorcerer's Rise mechanism,Changes compatible armament’s skill to Gravitas at start of expedition
Polished Burning Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Lightning Damage Negation Up,
Polished Tranquil Scene,Mind +2,Dexterity +2,
Grand Drizzly Scene,Improved Poise Near Totem Stela,Changes compatible armament's skill to Flaming Strike at start of expedition,Endurance +2
Grand Luminous Scene,Improved Carian Sword Sorcery,Attack power permanently increased for each evergaol prisoner defeated,Changes compatible armament’s skill to Hoarfrost Stomp at start of expedition
Silver Tear,{Wylder] Art gauge greatly filled when ability is activated,Arcane +3,Ultimate Art Gauge +3
Grand Burning Scene,{Revenant] Expend own HP to fully heal nearby allies when activating Art,FP Restoration upon Straight Sword Attacks,Dexterity +3
Grand Luminous Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Improved Attack Power with 3+ Halberds Equipped,Starting armament deals fire damage
Polished Luminous Scene,Improved Glintblade Sorcery,Max FP permanently increased after releasing Sorcerer's Rise mechanism,
Polished Luminous Scene,Art gauge fills moderately upon critical hit,Arcane +2,
Grand Luminous Scene,Changes compatible armament’s skill to Flaming Strike at start of expedition,Arcane +1,Character Skill Cooldown Reduction +3
Grand Luminous Scene,Improved Throwing Knife Damage,Starting armament deals fire damage,Fire Attack Power Up
Grand Luminous Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Changes compatible armament’s skill to White Shadow's Lure at start of expedition,Character Skill Cooldown Reduction +1
Grand Tranquil Scene,Holy Water Pots in possession at start of expedition,Magic Grease in possession at start of expedition,Mind +2
Polished Drizzly Scene,Improved Attack Power with 3+ Flails Equipped,FP Restoration upon Great Spear Attacks,
Grand Tranquil Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Wraith Calling Bell in possession at start of expedition,Intelligence +3
Grand Tranquil Scene,Partial HP Restoration upon Post-Damage Attacks,Vigor +2,Poise +2
Grand Burning Scene,Increased rune acquisition for self and allies,Stonesword Key in possession at start of expedition,Rune discount for shop purchases while on expedition
Night of the Lord,Switching Weapons Adds an Affinity Attack,Boosts Attack Power of Added Affinity Attacks,Switching Weapons Boosts Attack Power
Grand Tranquil Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Improved Dagger Attack Power,Bewitching Branches in possession at start of expedition
Grand Burning Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Attack power up when facing scarlet rot-afflicted enemy,Fire Attack Power Up +1
Grand Drizzly Scene,Improved Attack Power with 3+ Colossal Swords Equipped,Vigor +3,Dexterity +3
Grand Tranquil Scene,{Ironeye] Extends duration of weak point,Changes compatible armament's skill to Eruption at start of expedition,Faith +1
Grand Burning Scene,{Duchess] Defeating enemies while Art is active ups attack power,Attack power increases after using grease items,Changes compatible armament’s skill to Sacred Blade at start of expedition
Polished Burning Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Increased rune acquisition for self and allies,
Grand Burning Scene,Endurance +2,Arcane +3,Ultimate Art Gauge +3
Grand Burning Scene,HP Recovery From Successful Guarding,Improved Attack Power with 3+ Thrusting Swords Equipped,Changes compatible armament’s skill to Hoarfrost Stomp at start of expedition
Polished Luminous Scene,{Ironeye] Extends duration of weak point,Lightning Attack Power Up +1,
Grand Burning Scene,Improved Attack Power with 3+ Thrusting Swords Equipped,Max FP Up with 3+ Sacred Seals Equipped,Poise +1
Polished Tranquil Scene,{Wylder] +1 additional Character Skill use,Wraith Calling Bell in possession at start of expedition,
Grand Drizzly Scene,Improved Heavy Thrusting Sword Attack Power,Changes compatible armament’s skill to Seppuku at start of expedition,Ultimate Art Gauge +2
Polished Tranquil Scene,Improved Throwing Stone Damage,Holy Attack Power Up +2,
Polished Burning Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,HP Restoration upon Spear Attacks,
Grand Drizzly Scene,{Ironeye] +1 additional Character Skill use,Partial HP Restoration upon Post-Damage Attacks,Improved Death Blight Resistance
Polished Luminous Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Improved Poise & Damage Negation When Knocked Back by Damage,
Polished Drizzly Scene,{Ironeye] +1 additional Character Skill use,Stamina recovers with each successful attack,
Grand Luminous Scene,HP Recovery From Successful Guarding,Changes compatible armament’s skill to Glintblade Phalanx at start of expedition,Endurance +1
Grand Luminous Scene,Improved Damage Negation at Low HP,Art gauge fills moderately upon critical hit,Holy Water Pots in possession at start of expedition
Polished Tranquil Scene,Improved Throwing Stone Damage,Strength +3,
Grand Burning Scene,Improved Attack Power with 3+ Whips Equipped,Changes compatible armament's skill to Sacred Blade at start of expedition,Vigor +3
Grand Luminous Scene,"HP restored when using cured meats, medicinal boluses, etc.",Changes compatible armament’s skill to Quickstep at start of expedition,Intelligence +2
Polished Luminous Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Changes compatible armament's skill to Chilling Mist at start of expedition,
Polished Burning Scene,Starting armament inflicts blood loss,Magic Damage Negation Up,
Grand Tranquil Scene,Poise +2,Physical Attack Up +1,Improved Sleep Resistance
Grand Burning Scene,"HP restored when using cured meats, medicinal boluses, etc.",Items confer effect to all nearby allies,Endurance +3
Polished Luminous Scene,Improved Stance-Breaking when Wielding Two Armaments,Character Skill Cooldown Reduction +1,
Grand Luminous Scene,{Guardian] Reflect a portion of damage received when ability is activated,Magic Attack Power Up +1,Improved Frost Resistance
Polished Drizzly Scene,Improved Roar & Breath Attacks,Character Skill Cooldown Reduction +3,
Polished Luminous Scene,Treasure marked upon map,Fire Attack Power Up +1,
Night of the Wise,Increased Maximum FP,Starting armament inflicts poison,Poison & Rot in Vicinity Increases Attack Power
Grand Burning Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Improved Attack Power with 3+ Heavy Thrusting Swords Equipped,Poise +1
Grand Drizzly Scene,{Duchess] Defeating enemies while Art is active ups attack power,Attack power up when facing scarlet rot-afflicted enemy,Improved Rot Resistance
Polished Tranquil Scene,Improved Attack Power with 3+ Great Spears Equipped,FP Restoration upon Greatsword Attacks,
Polished Luminous Scene,Defeating enemies near Totem Stela restores HP,Dexterity +3,
Grand Tranquil Scene,Improved Poise Near Totem Stela,Treasure marked upon map,Shield Grease in possession at start of expedition
Grand Tranquil Scene,HP Restoration upon Curved Greatsword Attacks,Character Skill Cooldown Reduction +2,Lightning Damage Negation Up
Polished Burning Scene,Improved Throwing Pot Damage,Faith +3,
Polished Tranquil Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Magic Attack Power Up,
Grand Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Improved Petfuming Arts,Improved Crystalian sorcery
Polished Drizzly Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Improved Colossal Weapon Attack Power,
Grand Tranquil Scene,FP Restoration upon Colossal Sword Attacks,Starting armament deals magic damage,Attack power up when facing scarlet rot-afflicted enemy
Night of the Demon,Huge rune discount for shop purchases while on expedition,"Gesture ""Crossed Legs” Builds Up Madness",Madness Continually Recovers FP
Grand Burning Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Improved Stonedigger Sorcery,Holy Attack Power Up
Grand Luminous Scene,Improved Great Spear Attack Power,Art gauge charged from successful guarding,Strength +2
Polished Luminous Scene,Fire Attack Power Up,Improved Madness Resistance,
Grand Luminous Scene,"HP restored when using cured meats, medicinal boluses, etc.",Improved Carian Sword Sorcery,Vigor +2
Polished Luminous Scene,Improved Damage Negation at Low HP,Improved Initial Standard Attack,
Polished Luminous Scene,{Guardian] Slowly restores nearby allies’ HP while Art is active,Improved Axe Attack Power,
Grand Burning Scene,{Wylder] Art activation spreads fire in area,Strength +2,Dexterity +2
Grand Luminous Scene,{Ironeye] Extends duration of weak point,Endurance +2,Dexterity +2
Night of the Champion,Increased Maximum Stamina,Guard counter is given a boost based on current HP,HP Restoration upon Thrusting Counterattack
Polished Luminous Scene,Poise +3,Improved Poison Resistance,
Grand Burning Scene,Critical Hit Boosts Stamina Recovery Speed,Improved Godslayer Incantations,Strength +2
Polished Luminous Scene,Improved Glintblade Sorcery,Improved Madness Resistance,
Polished Burning Scene,Improved Halberd Attack Power,Arcane +1,
Polished Burning Scene,Draw enemy attention while guarding,Improved Poise & Damage Negation When Knocked Back by Damage,
Polished Burning Scene,Attack power up when facing poison-afflicted enemy,Arcane +2,
Polished Tranquil Scene,Improved Stance-Breaking when Wielding Two Armaments,Improved Sleep Resistance,
Polished Tranquil Scene,Attack power up when facing scarlet rot-afflicted enemy,Ultimate Art Gauge +2,
Grand Burning Scene,Strength +3,Dexterity +2,Ultimate Art Gauge +1
Polished Drizzly Scene,Improved Stance-Breaking when Wielding Two Armaments,Arcane +1,
Polished Luminous Scene,Improved Critical Hits,Improved Madness Resistance,
Polished Burning Scene,HP Restoration upon Curved Greatsword Attacks,Draw enemy attention while guarding,
Grand Luminous Scene,HP Restoration upon Fist Attacks,Starting armament deals holy damage,Holy Attack Power Up +1
Polished Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,HP Restoration upon Fist Attacks,
Polished Luminous Scene,Improved Glintblade Sorcery,Intelligence +3,
Polished Drizzly Scene,Lightning Attack Power Up +2,Improved Blood Loss Resistance,
Night of the Miasma,Nearby Frostbite Conceals Self,Changes compatible armament's skill to Chilling Mist at start of expedition,Attack power up when facing frostbite-afflicted enemy
Polished Drizzly Scene,Max HP Up with 34 Small Shields Equipped,Critical Hits Earn Runes,
Grand Drizzly Scene,Mind +1,Character Skill Cooldown Reduction +1,Magic Attack Power Up +1
Polished Drizzly Scene,Items confer effect to all nearby allies,Defeating enemies restores HP for allies but not for self,
Night of the Fathom,Increased Maximum HP,Flask Also Heals Allies,Items confer effect to all nearby allies
Polished Drizzly Scene,Faith +2,Magic Attack Power Up,
Grand Burning Scene,HP Restoration upon Whip Attacks,Improved Petfuming Arts,HP Restoration upon Thrusting Counterattack
Polished Drizzly Scene,Endurance +3,Strength +1,
Cracked Sealing Wax,{Ironeye] Extends duration of weak point,Critical Hits Earn Runes,
Polished Tranquil Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Endurance +1,
Polished Drizzly Scene,Improved Curved Greatsword Attack Power,Faith +2,
Polished Burning Scene,Improved Godslayer Incantations,Endurance +2,
Polished Burning Scene,Improved Initial Standard Attack,Improved Rot Resistance,
Night of the Baron,Improved Critical Hits +1,Art gauge fills moderately upon critical hit,Critical Hit Boosts Stamina Recovery Speed
Grand Tranquil Scene,FP Restoration upon Curved Greatsword Attacks,Critical Hit Boosts Stamina Recovery Speed,Holy Attack Power Up
Grand Tranquil Scene,HP Restoration upon Greatsword Attacks,Physical Attack Up,Fire Damage Negation Up
Polished Luminous Scene,Improved Stonedigger Sorcery,Lightning Attack Power Up +2,
Polished Tranquil Scene,Improved Initial Standard Attack,Improved Sleep Resistance,
Polished Tranquil Scene,Items confer effect to all nearby allies,Intelligence +3,
Polished Burning Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Intelligence +3,
Polished Burning Scene,Stamina recovers with each successful attack,Improved Frost Resistance,
Polished Drizzly Scene,Improved Giants’ Flame Incantations,Holy Attack Power Up,
Polished Drizzly Scene,Strength +2,Ultimate Art Gauge +2,
Polished Tranquil Scene,Defeating enemies fills more of the Art gauge,Intelligence +2,
Polished Drizzly Scene,{Raider] Duration of Ultimate Art extended,Intelligence +1,
Slate Whetstone,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Physical Attack Up,
Polished Luminous Scene,Strength +2,Holy Attack Power Up +2,
Besmirched Frame,Taking attacks improves attack power,Faith +3,
Delicate Luminous Scene,Lightning Grease in possession at start of expedition,,
Delicate Tranquil Scene,Changes compatible armament's skill to Sacred Blade at start of expedition,,
Polished Burning Scene,Improved Throwing Pot Damage,Improved Throwing Knife Damage,
Delicate Luminous Scene,Improved Critical Hits,,
Delicate Drizzly Scene,Starting armament deals magic damage,,
Delicate Burning Scene,Fire Pots in possession at start of expedition,,
Polished Burning Scene,Ultimate Art Gauge +2,Holy Damage Negation Up,
Polished Tranquil Scene,Character Skill Cooldown Reduction +2,Lightning Damage Negation Up,
Polished Tranquil Scene,Attack power increases after using grease items,Endurance +3,
Delicate Drizzly Scene,Draw enemy attention while guarding,,
Polished Luminous Scene,Improved Crystalian sorcery,Improved Madness Resistance,
Grand Burning Scene,Improved Damage Negation at Low HP,Intelligence +3,Lightning Attack Power Up
Polished Burning Scene,Stamina recovers with each successful attack,Magic Attack Power Up,
Polished Burning Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Max HP Up with 3+ Medium Shields Equipped,
Polished Luminous Scene,Intelligence +2,Physical Attack Up +2,
Polished Burning Scene,"Raised stamina recovery for nearby allies, but not for self",Vigor +2,
Polished Drizzly Scene,Improved Crystalian sorcery,Physical Attack Up +2,
Polished Drizzly Scene,Improved Damage Negation at Low HP,Mind +3,
Polished Luminous Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Physical Attack Up +2,
Grand Tranquil Scene,Improved Dragon Cult Incantations,Stamina recovers with each successful attack,Increased rune acquisition for self and allies
Grand Burning Scene,Lightning Grease in possession at start of expedition,Holy Attack Power Up +2,Improved Frost Resistance
Polished Luminous Scene,Mind +2,Poise +1,
Polished Tranquil Scene,Improved Stance-Breaking when Two-Handing,Strength +3,
Polished Luminous Scene,Faith +3,Character Skill Cooldown Reduction +2,
Polished Tranquil Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Intelligence +1,
Grand Burning Scene,Improved Petfuming Arts,Stamina recovers with each successful attack,Faith +3
Polished Tranquil Scene,Character Skill Cooldown Reduction +2,Fire Damage Negation Up,
Grand Tranquil Scene,Attack power up when facing poison-afflicted enemy,Strength +3,Character Skill Cooldown Reduction +1
Polished Tranquil Scene,Attack power up when facing scarlet rot-afflicted enemy,Strength +3,
Polished Tranquil Scene,Improved Initial Standard Attack,Improved Throwing Pot Damage,
Polished Burning Scene,Ultimate Art Gauge +2,Magic Damage Negation Up,
Polished Drizzly Scene,Slowly restore HP for self and nearby allies when HP is low,Mind +1,
Polished Drizzly Scene,Draw enemy attention while guarding,Vigor +3,
Polished Luminous Scene,"HP restored when using cured meats, medicinal boluses, etc.",Arcane +3,
Polished Burning Scene,Improved Godslayer Incantations,Defeating enemies fills more of the Art gauge,
Night of the Beast,Stamina recovers with each successful attack +1,Starting armament deals fire damage,
Old Pocketwatch,FP Restoration upon Successive Attacks,Dexterity +3,
Grand Burning Scene,Improved Invisibility Sorcery,Items confer effect to all nearby allies,Character Skill Cooldown Reduction +3
